name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d,
barrel,volume,POSC,bbl,bbl,m3,0,0.158987,1,0,
billion cubic feet,volume,POSC,bcf,,m3,0,2.83E+07,1,0,
bucket (imperial),volume,Wikipedia,bkt,,m3,0,0.0181844,1,0,
barrel (imperial),volume,Wikipedia,blUK,,m3,0,0.163659,1,0,
barrel (us dry),volume,Wikipedia,blUS,,m3,0,0.115628,1,0,
bushel (us dry level),volume,Wikipedia,bu (us lvl),,m3,0,0.0352391,1,0,
"butt, pipe",volume,Wikipedia,"butt,",,m3,0,0.476962,1,0,
bushel (imperial),volume,Wikipedia,buUK,,m3,0,0.0363687,1,0,
bushel (us dry heaped),volume,Wikipedia,buUS,,m3,0,0.0440488,1,0,
cup (canadian),volume,Wikipedia,cCA,,m3,0,0.000227304,1,0,
cubic centimetre,volume,POSC,cm3,cm3,m3,0,1.00E-06,1,0,
coomb,volume,Wikipedia,coomb,,m3,0,0.145475,1,0,
cord (firewood),volume,Wikipedia,cord (firewood),,m3,0,3.62456,1,0,
cord-foot,volume,Wikipedia,cord-foot,,m3,0,0.45307,1,0,
cubic fathom,volume,Wikipedia,cu fm,,m3,0,6.11644,1,0,
cubic feet,volume,POSC,cu ft,ft3,m3,0,0.0283169,1,0,
cubic inch,volume,POSC,cu in,in3,m3,0,1.64E-05,1,0,
cubic yard,volume,POSC,cu yd,1/27 ft3,m3,0,0.764555,1,0,
cubic mile,volume,POSC,cubem,mi3,m3,0,4.17E+09,1,0,
cup (breakfast),volume,Wikipedia,cup (breakfast),,m3,0,0.000284131,1,0,
cup (us customary),volume,Wikipedia,cUS,,m3,0,0.000236588,1,0,
darcy foot,permeability length,POSC,D.ft,D.ft,m3,0,3.01E-13,1,0,
darcy metre,permeability length,POSC,D.m,D.m,m3,0,9.87E-13,1,0,
dash (imperial),volume,Wikipedia,dashUK,,m3,0,3.70E-07,1,0,
dash (us),volume,Wikipedia,dashUS,,m3,0,3.08E-07,1,0,
dessertspoon (imperial),volume,Wikipedia,dessertspoonUK,,m3,0,1.18E-05,1,0,
cubic decimetre,volume,POSC,dm3,dm3,m3,0,0.001,1,0,
drop (medical),volume,Wikipedia,drop (medical),,m3,0,8.30E-08,1,0,
drop (metric),volume,Wikipedia,drop (metric),,m3,0,0.00000005,1,0,
board-foot,volume,Wikipedia,fbm,,m3,0,0.00235974,1,0,
fifth,volume,Wikipedia,fifth,,m3,0,0.000757082,1,0,
firkin,volume,Wikipedia,firkin,,m3,0,0.0409148,1,0,
barrel (us fluid),volume,Wikipedia,fl blUS,,m3,0,0.11924,1,0,
fluid drachm (imperial),volume,Wikipedia,fl drUK,,m3,0,3.55E-06,1,0,
fluid dram (us); us fluidram,volume,Wikipedia,fl drUS,,m3,0,3.70E-06,1,0,
US fluid ounces,volume,POSC,fl ozUS,,m3,0,2.96E-05,1,0,
fluid scruple (imperial),volume,Wikipedia,fl s,,m3,0,1.18E-06,1,0,
UK fluid ounce,volume,POSC,flozUK,,m3,0,2.84E-05,1,0,
US fluid ounces,volume,POSC,flozUS,,m3,0,2.96E-05,1,0,
cubic feet,volume,POSC,ft3,ft3,m3,0,0.0283169,1,0,
UK gallon,volume,POSC,galUK,galUK,m3,0,0.00454609,1,0,
US gallons,volume,POSC,galUS,galUS,m3,0,0.00378541,1,0,
gill (imperial); noggin,volume,Wikipedia,giUK,,m3,0,0.000142065,1,0,
gill (us),volume,Wikipedia,giUS,,m3,0,0.000118294,1,0,
drop (imperial),volume,Wikipedia,gttUK,,m3,0,9.87E-08,1,0,
drop (us),volume,Wikipedia,gttUS,,m3,0,8.21E-08,1,0,
hectare metres,volume,POSC,ha.m,ha.m,m3,0,10000,1,0,
hogshead (imperial),volume,Wikipedia,hhdUK,,m3,0,0.327318,1,0,
hogshead (us),volume,Wikipedia,hhdUS,,m3,0,0.238481,1,0,
hectoliter,volume,POSC,hL,hL,m3,0,0.1,1,0,
cubic inches,volume,POSC,in3,in3|cu in,m3,0,1.64E-05,1,0,
jigger (bartending),volume,Wikipedia,jigger (bartending),,m3,0,0.00004436,1,0,
kilderkin,volume,Wikipedia,kilderkin,,m3,0,0.0818296,1,0,
cubic kilometres,volume,POSC,km3,km3,m3,0,1.00E+09,1,0,
litre,volume,POSC,L,L,m3,0,0.001,1,0,
last,volume,Wikipedia,last,,m3,0,2.9095,1,0,
load,volume,Wikipedia,load,,m3,0,1.41584,1,0,
million cubic feet,volume,POSC,M(ft3),,m3,0,28316.8,1,0,
million cubic meters,volume,POSC,M(m3),,m3,0,1.00E-09,1,0,
cubic metres,volume,POSC,m3,m3,m3,0,1,1,0,
thousand barrels,volume,POSC,Mbbl,Mbbl,m3,0,158.987,1,0,
thousand cubic feet,volume,POSC,Mcf,,m3,0,28.3168,1,0,
millidarcy foot,permeability length,POSC,mD.ft,mD.ft,m3,0,3.01E-16,1,0,
millidarcy metres,permeability length,POSC,mD.m,mD.m,m3,0,9.87E-16,1,0,
cubic mile,volume,POSC,mi3,mi3,m3,0,4.17E+09,1,0,
minim (imperial),volume,Wikipedia,minUK,,m3,0,5.92E-08,1,0,
minim (us),volume,Wikipedia,minUS,,m3,0,6.16E-08,1,0,
millilitre,volume,POSC,mL,mL,m3,0,1.00E-06,1,0,
cubic millimetres,volume,POSC,mm3,mm3,m3,0,1.00E-09,1,0,
million barrels,volume,POSC,MMbbl,,m3,0,158987,1,0,
million cubic feet,volume,POSC,MMcf,,m3,0,28316.8,1,0,
perch,volume,Wikipedia,per,,m3,0,0.700842,1,0,
pinch (imperial),volume,Wikipedia,pinchUK,,m3,0,7.40E-07,1,0,
pinch (us),volume,Wikipedia,pinchUS,,m3,0,6.16E-07,1,0,
peck (imperial),volume,Wikipedia,pkUK,,m3,0,0.00909218,1,0,
peck (us dry),volume,Wikipedia,pkUS,,m3,0,0.00880977,1,0,
pony,volume,Wikipedia,pony,,m3,0,2.22E-05,1,0,
pottle; quartern,volume,Wikipedia,pottle,,m3,0,0.00227305,1,0,
UK pint,volume,POSC,ptUK,,m3,0,0.000568262,1,0,
US pints,volume,POSC,ptUS,,m3,0,0.000473177,1,0,
UK quarts,volume,POSC,qtUK,,m3,0,0.00113652,1,0,
US quarts,volume,POSC,qtUS,,m3,0,0.000946353,1,0,
register ton,volume,Wikipedia,register ton,,m3,0,2.83168,1,0,
sack (imperial); bag,volume,Wikipedia,sackUK,,m3,0,0.109106,1,0,
sack (us),volume,Wikipedia,sackUS,,m3,0,0.105717,1,0,
seam,volume,Wikipedia,seam,,m3,0,0.281913,1,0,
shot (us),volume,Wikipedia,shotUS,,m3,0,0.000044,1,0,
strike (imperial),volume,Wikipedia,strikeUK,,m3,0,0.0727374,1,0,
strike (us),volume,Wikipedia,strikeUS,,m3,0,0.0704781,1,0,
tablespoon (metric),volume,Wikipedia,tbsp (metric),,m3,0,0.000015,1,0,
tablespoon (australian metric),volume,Wikipedia,tbspAUS,,m3,0,0.00002,1,0,
tablespoon (canadian),volume,Wikipedia,tbspCA,,m3,0,1.42E-05,1,0,
tablespoon (imperial),volume,Wikipedia,tbspUK,,m3,0,1.78E-05,1,0,
tablespoon (us customary),volume,Wikipedia,tbspUS,,m3,0,1.48E-05,1,0,
trillion cubic feet,volume,POSC,tcf,,m3,0,2.83E+10,1,0,
timber foot,volume,Wikipedia,timber foot,,m3,0,0.0283168,1,0,
ton (displacement),volume,Wikipedia,ton (displacement),,m3,0,0.99109,1,0,
ton (freight),volume,Wikipedia,ton (freight),,m3,0,1.13267,1,0,
ton (water),volume,Wikipedia,ton (water),,m3,0,1.01832,1,0,
teaspoon (metric),volume,Wikipedia,tsp (metric),,m3,0,0.000005,1,0,
teaspoon (canadian),volume,Wikipedia,tspCA,,m3,0,4.74E-06,1,0,
teaspoon (imperial),volume,Wikipedia,tspUK,,m3,0,5.92E-06,1,0,
teaspoon (us customary),volume,Wikipedia,tspUS,,m3,0,4.93E-06,1,0,
tun,volume,Wikipedia,tun,,m3,0,0.953924,1,0,
square micron metres,volume,POSC,um2.m,um2.m,m3,0,1.00E-12,1,0,
wey (us),volume,Wikipedia,wey (us),,m3,0,1.40956,1,0,
cubic yard,volume,POSC,yd3,1/27 ft3,m3,0,0.764555,1,0,
cubic decimetres/kilowatt hour,isothermal compressibility,POSC,dm3/kW.h,dm3/kW.h,m3/J,0,2.78E-10,1,0,
cubic decimetres/megajoule,isothermal compressibility,POSC,dm3/MJ,dm3/MJ,m3/J,0,1.00E-09,1,0,
cubic metres/joule,isothermal compressibility,POSC,m3/J,m3/J,m3/J,0,1,1,0,
cubic metres/kilowatt hour,isothermal compressibility,POSC,m3/kW.h,m3/kW.h,m3/J,0,1,3.60E+06,0,
cubic millimetres/joule,isothermal compressibility,POSC,mm3/J,mm3/J,m3/J,0,1.00E-09,1,0,
UK pints/horsepower hour,isothermal compressibility,POSC,ptUK/hp.hr,,m3/J,0,2.12E-10,1,0,
barrel per U.K. ton,specific volume,POSC,bbl/tonUK,bbl/tonUK,m3/kg,0,156.476,1,0,
barrel per U.S. ton,specific volume,POSC,bbl/tonUS,bbl/tonUS,m3/kg,0,175.254,1,0,
cubic centimetres/gram,specific volume,POSC,cm3/g,cm3/g,m3/kg,0,0.001,1,0,
cubic decimetres/kilogram,specific volume,POSC,dm3/kg,dm3/kg,m3/kg,0,0.001,1,0,
cubic decimetres/ton,specific volume,POSC,dm3/t,dm3/t,m3/kg,0,1.00E-06,1,0,
cubic feet per kilogram,specific volume,POSC,ft3/kg,ft3/kg,m3/kg,0,0.0283169,1,0,
cubic feet/pound mass,specific volume,POSC,ft3/lbm,ft3/lbm,m3/kg,0,0.062428,1,0,
cubic feet per 94 pound sack,specific volume,POSC,ft3/sack94,,m3/kg,0,0.0283169,42.6377,0,
US gallons/94 lb sack,specific volume,POSC,gal/sack,,m3/kg,0,0.00378541,42.6377,0,
UK gallons/pound mass,specific volume,POSC,galUK/lbm,galUK/lbm,m3/kg,0,0.0100224,1,0,
US gallons/pound mass,specific volume,POSC,galUS/lbm,galUS/lbm,m3/kg,0,0.0083454,1,0,
US gallons/94 lb sack,specific volume,POSC,galUS/sack94,,m3/kg,0,0.00378541,42.6377,0,
US gallons/UK ton,specific volume,POSC,galUS/tonUK,galUS/tonUK,m3/kg,0,3.73E-06,1,0,
US gallons/US ton,specific volume,POSC,galUS/tonUS,galUS/tonUS,m3/kg,0,4.17E-06,1,0,
liter per hundred kilogram,specific volume,POSC,L/100kg,,m3/kg,0,1.00E-05,1,0,
liter per kilogram,specific volume,POSC,L/kg,L/kg,m3/kg,0,0.001,1,0,
litres/tonne,specific volume,POSC,L/t,L/t,m3/kg,0,1.00E-06,1,0,
liter per UK ton,specific volume,POSC,L/tonUK,L/tonUK,m3/kg,0,0.001,1016.05,0,
cubic metres/gram,specific volume,POSC,m3/g,m3/g,m3/kg,0,1000,1,0,
cubic metres/kilogram,specific volume,POSC,m3/kg,m3/kg,m3/kg,0,1,1,0,
cubic metres/tonne,specific volume,POSC,m3/t,m3/t,m3/kg,0,0.001,1,0,
cubic meters per UK ton,specific volume,POSC,m3/tonUK,m3/tonUK,m3/kg,0,1,1016.05,0,
cubic meters per US ton,specific volume,POSC,m3/tonUS,m3/tonUS,m3/kg,0,1,907.185,0,
cubic decimetres/kilogram mole,molar volume,POSC,dm3/kmol,,m3/mol,0,1.00E-06,1,0,
cubic decimetres/kilogram mole,molar volume,POSC,dm3/mol(kg),dm3/mol,m3/mol,0,0.001,1,0,
cubic feet/mole (pound mass),molar volume,POSC,ft3/lbmole,,m3/mol,0,6.24E-05,1,0,
cubic feet/mole (pound mass),molar volume,POSC,ft3/mol(lbm),,m3/mol,0,0.062428,1,0,
litres/mole (kilogram),molar volume,POSC,L/kmol,L/mol,m3/mol,0,1.00E-06,1,0,
litres/mole (gram),molar volume,POSC,L/mol,,m3/mol,0,0.001,1,0,
litres/mole (gram),molar volume,POSC,L/mol(g),,m3/mol,0,1,1,0,
litres/mole (kilogram),molar volume,POSC,L/mol(kg),L/mol,m3/mol,0,0.001,1,0,
cubic metres/mole (kilogram),molar volume,POSC,m3/kmol,m3/mol(kg),m3/mol,0,0.001,1,0,
cubic metres/mole,molar volume,POSC,m3/mol,m3/mol,m3/mol,0,1,1,0,
cubic metres/mole (kilogram),molar volume,POSC,m3/mol(kg),m3/mol(kg),m3/mol,0,1,1,0,
thousand cubic feet per day per psi,productivity index,POSC,1000ft3/psi.d,,m3/Pa.s,0,28.3168,5.96E+08,0,
barrel/day pounds/square inch,productivity index,POSC,bbl/d.psi,bbl/d.psi,m3/Pa.s,0,2.67E-10,1,0,
barrel per day per kilopascal,productivity index,POSC,bbl/kPa.d,bbl/kPa.d,m3/Pa.s,0,0.158987,8.64E+07,0,
barrel per day per psi,productivity index,POSC,bbl/psi.d,bbl/psi.d,m3/Pa.s,0,0.158987,5.96E+08,0,
litres per minute per bar,productivity index,POSC,L/bar.min,(L/min)/bar,m3/Pa.s,0,0.001,6.00E+06,0,
cubic meter per day per bar,productivity index,POSC,m3/bar.d,m3/bar.d,m3/Pa.s,0,1,8.64E+09,0,
cubic meter per hour per bar,productivity index,POSC,m3/bar.h,m3.bar.h,m3/Pa.s,0,1,3.60E+08,0,
cubic meter per minute per bar,productivity index,POSC,m3/bar.min,m3/bar.min,m3/Pa.s,0,1,6.00E+06,0,
cubic metres/day kilopascal,productivity index,POSC,m3/d.kPa,m3/d.kPa,m3/Pa.s,0,1,8.64E+07,0,
cubic meter per day per kilopascal,productivity index,POSC,m3/kPa.d,m3/kPa.d,m3/Pa.s,0,1,8.64E+07,0,
(cubic metres per hour) per kilopascal,productivity index,POSC,m3/kPa.h,m3/kPa.h,m3/Pa.s,0,1,3.60E+06,0,
cubic metres/second pascal,productivity index,POSC,m3/Pa.s,m3/Pa.s,m3/Pa.s,0,1,1,0,
cubic meter per day per (pound per square inch),productivity index,POSC,m3/psi.d,m3/psi.d,m3/Pa.s,0,1,5.96E+08,0,
(cubic metres/second) per pascal,productivity index,WITSML,m3/Pa/s,m3/Pa/s,m3/Pa/s,0,1,1,0,
barrels/centiPoise day psi,specific productivity index,POSC,bbl/cP.d.psi,bbl/cP.d.psi,m3/Pa2.s2,0,0.158987,595707,0,
cubic metres/centiPoise day kiloPascal,specific productivity index,POSC,m3/cP.d.kPa,m3/cP.d.kPa,m3/Pa2.s2,0,1,86400,0,
cubic metres/centiPoise Pascal second,specific productivity index,POSC,m3/cP.Pa.s,m3/cP.Pa.s,m3/Pa2.s2,0,1000,1,0,
cubic metres/pascal second squared,specific productivity index,POSC,m3/Pa2.s2,m3/Pa2.s2,m3/Pa2.s2,0,1,1,0,
thousand cubic feet per day,volume flow rate,POSC,1000ft3/d,,m3/s,0,28.3168,86400,0,
thousand cubic metres per day,volume flow rate,POSC,1000m3/d,,m3/s,0,1000,86400,0,
thousand cubic metres per hour,volume flow rate,POSC,1000m3/h,,m3/s,0,1000,3600,0,
barrel/day,volume flow rate,POSC,bbl/d,bbl/d,m3/s,0,0.158987,86400,0,
barrel/hour,volume flow rate,POSC,bbl/hr,bbl/hr,m3/s,0,0.158987,3600,0,
barrel per minute,volume flow rate,POSC,bbl/min,bbl/min,m3/s,0,0.158987,60,0,
cubic centimeter per thirty minutes,volume flow rate,POSC,cm3/30min,,m3/s,0,1.00E-06,1800,0,
cubic centimeter per hour,volume flow rate,POSC,cm3/h,cm3/h,m3/s,0,1.00E-06,3600,0,
cubic centimeter per minute,volume flow rate,POSC,cm3/min,cm3/min,m3/s,0,1.00E-06,60,0,
cubic centimeter per second,volume flow rate,POSC,cm3/s,cm3/s,m3/s,0,1.00E-06,1,0,
cubic decimetres/second,volume flow rate,POSC,dm3/s,dm3/s,m3/s,0,0.001,1,0,
cubic feet/day,volume flow rate,POSC,ft3/d,ft3/d,m3/s,0,0.0283169,86400,0,
cubic feet/hour,volume flow rate,POSC,ft3/h,ft3/h,m3/s,0,0.0283169,3600,0,
cubic feet/minute,volume flow rate,POSC,ft3/min,ft3/min,m3/s,0,0.0283169,60,0,
cubic feet/second,volume flow rate,POSC,ft3/s,ft3/s,m3/s,0,0.0283169,1,0,
UK gallons per day,volume flow rate,POSC,galUK/d,galUK/d,m3/s,0,0.00454909,86400,0,
UK gallons/hour,volume flow rate,POSC,galUK/hr,galUK/h,m3/s,0,0.00454909,3600,0,
UK gallons/minute,volume flow rate,POSC,galUK/min,galUK/min,m3/s,0,0.00454909,60,0,
US gallons per day,volume flow rate,POSC,galUS/d,galUS/d,m3/s,0,0.00378541,86400,0,
US gallons/hour,volume flow rate,POSC,galUS/hr,galUS/h,m3/s,0,0.00378541,3600,0,
US gallons/minute,volume flow rate,POSC,galUS/min,galUS/min,m3/s,0,0.00378541,60,0,
thousand barrels per day,volume flow rate,POSC,kbbl/d,,m3/s,0,158.987,86400,0,
liter per hour,volume flow rate,POSC,L/h,L/h,m3/s,0,0.001,3600,0,
liter per minute,volume flow rate,POSC,L/min,L/min,m3/s,0,0.001,60,0,
litres/second,volume flow rate,POSC,L/s,L/s,m3/s,0,0.001,1,0,
million cubic feet per day,volume flow rate,POSC,M(ft3)/d,,m3/s,0,28316.8,86400,0,
million cubic metres per day,volume flow rate,POSC,M(m3)/d,,m3/s,0,1.00E+06,86400,0,
cubic metres/day,volume flow rate,POSC,m3/d,m3/d,m3/s,0,1,86400,0,
cubic metres/hour,volume flow rate,POSC,m3/h,m3/h,m3/s,0,1,3600,0,
cubic meter per minute,volume flow rate,POSC,m3/min,m3/min,m3/s,0,1,60,0,
cubic metres/second,volume flow rate,POSC,m3/s,m3/s,m3/s,0,1,1,0,
thousand barrels/day,volume flow rate,POSC,Mbbl/d,,m3/s,0,158.987,86400,0,
barrels/day per day,volume per time per time,POSC,bbl/d2,bbl/d2,m3/s2,0,2.13E-11,1,0,
barrels/hour/hour,volume per time per time,POSC,bbl/hr2,bbl/hr2,m3/s2,0,0.158987,1.30E+07,0,
cubic decimetres/second/second,volume per time per time,POSC,dm3/s2,dm3/s2,m3/s2,0,0.001,1,0,
cubic feet/day/day,volume per time per time,POSC,ft3/d2,ft3/d2,m3/s2,0,0.0283169,7.46E+09,0,
cubic feet/hour/hour,volume per time per time,POSC,ft3/h2,ft3/h2,m3/s2,0,0.0283169,1.30E+07,0,
cubic feet/minute/minute,volume per time per time,POSC,ft3/min2,ft3/min2,m3/s2,0,0.0283169,3600,0,
cubic feet/second/second,volume per time per time,POSC,ft3/s2,ft3/s2,m3/s2,0,0.0283169,1,0,
UK gallons/hour/hour,volume per time per time,POSC,galUK/hr2,galUK/h2,m3/s2,0,0.00454609,1.30E+07,0,
UK gallons/minute/minute,volume per time per time,POSC,galUK/min2,galUK/min2,m3/s2,0,0.00454609,3600,0,
US gallons/hour/hour,volume per time per time,POSC,galUS/hr2,galUS/h2,m3/s2,0,0.00378541,1.30E+07,0,
US gallons/minute/minute,volume per time per time,POSC,galUS/min2,galUS/min2,m3/s2,0,0.00378541,3600,0,
litres/second/second,volume per time per time,POSC,L/s2,L/s2,m3/s2,0,0.001,1,0,
cubic metres/day/day,volume per time per time,POSC,m3/d2,m3/d2,m3/s2,0,1,7.46E+09,0,
cubic metres/seconds squared,volume per time per time,POSC,m3/s2,m3/s2,m3/s2,0,1,1,0,
"cubic metres/std cubic metres, 0 deg C",volume per standard volume,POSC,m3/scm(0C),,m3/scm(0C),0,1,1,0,
"acre feet/million stbs, 60 deg F",volume per standard volume,POSC,acre.ft/MMstb,,m3/scm(15C),0,1233.49,158987,0,
"barrels/million std cubic feet, 60 degF",volume per standard volume,POSC,bbl/MMscf(60F),,m3/scm(15C),0,0.158987,28262.4,0,
"barrels/stock tank barrel, 60 deg F",volume per standard volume,POSC,bbl/stb(60F),,m3/scm(15C),0,1,1,0,
"cubic feet/std cubic foot, 60 deg F",volume per standard volume,POSC,ft3/scf(60F),,m3/scm(15C),0,1,1,0,
"US gals/1000 std cubic feet, 60 deg F",volume per standard volume,POSC,galUS/Mscf(60F),,m3/scm(15C),0,0.00378541,28.2624,0,
"cubic metres/std cubic metres, 15 deg C",volume per standard volume,POSC,m3/scm(15C),,m3/scm(15C),0,1,1,0,
centimetres fourth,second moment of area,POSC,cm4,cm4,m4,0,1.00E-08,1,0,
inches to the fourth,second moment of area,POSC,in4,in4,m4,0,4.16E-07,1,0,
metres fourth,second moment of area,POSC,m4,m4,m4,0,1,1,0,
thousand (cubic meter per day)-meter,volume length per time,POSC,1000m4/d,,m4/s,0,1000,86400,0,
metres fourth/second,volume length per time,POSC,m4/s,m4/s,m4/s,0,1,1,0,
thousand barrel feet/day,volume length per time,POSC,Mbbl.ft/d,Mbbl.ft/d,m4/s,0,48.4593,86400,0,
kilomole,amount of substance,POSC,kmol,kmol,mol,0,1000,1,0,
moles (pounds mass),amount of substance,POSC,lbmole,,mol,0,453.592,1,0,
cubic metres at std condition (0 deg C),amount of substance,POSC,"m3(std,0C)",,mol,0,0.0446158,1,0,
cubic metres at std condition (15 deg C),amount of substance,POSC,"m3(std,15C)",,mol,0,0.0422932,1,0,
millimole,amount of substance,POSC,mmol,mmol,mol,0,0.001,1,0,
mole,amount of substance,POSC,mol,mol,mol,0,1,1,0,
mole (gram),amount of substance,POSC,mol(g),,mol,0,0.001,1,0,
mole (kilogram),amount of substance,POSC,mol(kg),mol,mol,0,1,1,0,
moles (pounds mass),amount of substance,POSC,mol(lbm),,mol,0,0.453592,1,0,
micromole,amount of substance,POSC,umol,umol,mol,0,1.00E-06,1,0,
moles/square metre,mole per area,POSC,mol/m2,mol/m2,mol/m2,0,1,1,0,
moles (pounds mass)/hour square foot,mole per time per area,POSC,lbmole/h.ft2,,mol/m2.s,0,453.592,334.451,0,
moles (pounds mass)/second square foot,mole per time per area,POSC,lbmole/s.ft2,,mol/m2.s,0,453.592,0.092903,0,
moles (pounds mass)/hour square foot,mole per time per area,POSC,mol(lbm)/h.ft2,,mol/m2.s,0,0.453592,334.451,0,
moles (pounds mass)/second square foot,mole per time per area,POSC,mol(lbm)/s.ft2,,mol/m2.s,0,0.453592,0.092903,0,
moles/square metre second,mole per time per area,POSC,mol/m2.s,mol/m2.s,mol/m2.s,0,1,1,0,
moles (kilogram)/cubic metre,concentration of B,POSC,kmol/m3,mol/m3,mol/m3,0,1000,1,0,
moles (pounds mass)/cubic foot,concentration of B,POSC,lbmole/ft3,,mol/m3,0,16018.5,1,0,
moles (pounds mass)/UK gallon,concentration of B,POSC,lbmole/galUK,,mol/m3,0,99776.3,1,0,
moles (pounds mass)/US gallon,concentration of B,POSC,lbmole/galUS,,mol/m3,0,119826,1,0,
moles (kilogram)/cubic metre,concentration of B,POSC,mol(kg)/m3,mol/m3,mol/m3,0,1,1,0,
moles (pounds mass)/cubic foot,concentration of B,POSC,mol(lbm)/ft3,,mol/m3,0,16.0185,1,0,
moles (pounds mass)/UK gallon,concentration of B,POSC,mol(lbm)/galUK,,mol/m3,0,99.7763,1,0,
moles (pounds mass)/US gallon,concentration of B,POSC,mol(lbm)/galUS,,mol/m3,0,119.826,1,0,
moles/cubic metre,concentration of B,POSC,mol/m3,mol/m3,mol/m3,0,1,1,0,
moles (kilogram)/hour,mole per time,POSC,kmol/h,mol/h,mol/s,0,1000,3600,0,
moles (kilogram)/second,mole per time,POSC,kmol/s,mol/s,mol/s,0,1000,1,0,
moles (pounds mass)/hour,mole per time,POSC,lbmole/h,,mol/s,0,453.592,3600,0,
moles (pounds mass)/second,mole per time,POSC,lbmole/s,,mol/s,0,453.592,1,0,
moles (kilogram)/hour,mole per time,POSC,mol(kg)/h,mol/h,mol/s,0,1,3600,0,
moles (kilogram)/second,mole per time,POSC,mol(kg)/s,mol/s,mol/s,0,1,1,0,
moles (pounds mass)/hour,mole per time,POSC,mol(lbm)/h,,mol/s,0,0.453592,3600,0,
moles (pounds mass)/second,mole per time,POSC,mol(lbm)/s,,mol/s,0,0.453592,1,0,
moles/second,mole per time,POSC,mol/s,mol/s,mol/s,0,1,1,0,
meganewtons,force,POSC,MN,MN,N,0,1.00E+06,1,0,
millinewtons,force,POSC,mN,mN,N,0,0.001,1,0,
decanewtons,force,POSC,daN,,N,0,10,1,0,
dynes,force,POSC,dyne,,N,0,1.00E-05,1,0,
gram force,force,POSC,gf,gf,N,0,0.00980665,1,0,
joules/metre,energy per length,POSC,J/m,J/m,N,0,1,1,0,
kilocalorie metres/square centimetre,energy length per area,POSC,kcal.m/cm2,kcal.m/cm2,N,0,4184,0.0001,0,
kilkodynes,force,POSC,kdyne,,N,0,0.01,1,0,
kilogram force,force,POSC,kgf,kgf,N,0,9.80665,1,0,
kilograms force metres/metre,force length per length,POSC,kgf.m/m,kgf.m/m,N,0,9.80665,1,0,
thousand pounds force,force,POSC,klbf,,N,0,4448.22,1,0,
kilonewtons,force,POSC,kN,kN,N,0,1000,1,0,
pounds force,force,POSC,lbf,lbf,N,0,4.44822,1,0,
pounds force feet/inch,force length per length,POSC,lbf.ft/in,lbf.ft/in,N,0,1.35582,0.0254,0,
pounds force inches/inch,force length per length,POSC,lbf.in/in,lbf.in/in,N,0,4.44822,1,0,
thousand kilograms force,force,POSC,Mgf,,N,0,4.45E+06,1,0,
megajoules/metre,energy per length,POSC,MJ/m,MJ/m,N,0,1.00E+06,1,0,
newton,force,POSC,N,N,N,0,1,1,0,
newton metres/metre,force length per length,POSC,N.m/m,N.m/m,N,0,1,1,0,
ounce force,force,POSC,ozf,ozf,N,0,4.44822,16,0,
poundals,force,POSC,pdl,,N,0,0.138255,1,0,
UK tons force,force,POSC,tonfUK,,N,0,9964.02,1,0,
US tons force,force,POSC,tonfUS,,N,0,8896.44,1,0,
US tons force miles/foot,force length per length,POSC,tonfUS.mi/ft,,N,0,1.43E+07,0.3048,0,
micronewtons,force,POSC,uN,uN,N,0,1.00E-06,1,0,
dyne centimetre squared,force area,POSC,dyne.cm2,,N.m2,0,1.00E-09,1,0,
kilogram force metres squared,force area,POSC,kgf.m2,kgf.m2,N.m2,0,9.80665,1,0,
kilonewton metres squared,force area,POSC,kN.m2,kN.m2,N.m2,0,1000,1,0,
pounds force inches squared,force area,POSC,lbf.in2,lbf.in2,N.m2,0,0.00286982,1,0,
millinewton metres squared,force area,POSC,mN.m2,mN.m2,N.m2,0,0.001,1,0,
newton square metres,force area,POSC,N.m2,N.m2,N.m2,0,1,1,0,
poundal centimetre squared,force area,POSC,pdl.cm2,,N.m2,0,1.38E-05,1,0,
UK ton feet squared,force area,POSC,tonfUK.ft2,,N.m2,0,925.687,1,0,
US tons force feet squared,force area,POSC,tonfUS.ft2,,N.m2,0,826.507,1,0,
dynes/centimetre,force per length,POSC,dyne/cm,,N/m,0,0.001,1,0,
ergs/square centimetre,energy per area,POSC,erg/cm2,mN/m,N/m,0,0.001,1,0,
joules/square centimetre,energy per area,POSC,J/cm2,J/cm2,N/m,0,10000,1,0,
joules/square metre,energy per area,POSC,J/m2,J/m2,N/m,0,1,1,0,
kilogram force metres/square centimetre,energy per area,POSC,kgf.m/cm2,kgf.m/cm2,N/m,0,98066.5,1,0,
kilograms force/centimetre,force per length,POSC,kgf/cm,kgf/cm,N/m,0,9.80665,0.01,0,
kilonewtons/metre,force per length,POSC,kN/m,kN/m,N/m,0,1000,1,0,
foot pounds force/square inch,energy per area,POSC,lbf.ft/in2,lbf.ft/in2,N/m,0,2101.52,1,0,
pounds force per hundred foot,force per length,POSC,lbf/100ft,,N/m,0,4.44822,30.48,0,
pounds force per thirty meters,force per length,POSC,lbf/30m,,N/m,0,4.44822,30,0,
pounds force per foot,force per length,POSC,lbf/ft,lbf/ft,N/m,0,4.44822,0.3048,0,
pounds force/inch,force per length,POSC,lbf/in,lbf/in,N/m,0,4.44822,0.0254,0,
